Series Title,Year Released,Content Rating,IMDB Rating,R Rating,Genre,Description,No of Seasons,Streaming Platform
Air Warriors,2014,7+,7.7,44,"Documentary,Reality","They are the high-flying pride of the U.S. military, one-of-a-kind warriors that, over the decades, collectively revolutionized aerial warfare. Through rare, archival footage and compelling testimonies, meet the men and women who fly and maintain these Air Warriors and see how they've overcome incredible obstacles to rule the sky.Air Warriors has one or more episodes streaming on CBS All Access, free on Smithsonian Channel, streaming with subscription on Smithsonian Earth (Via Prime Video), and 6 others. It's a documentary and reality show with 27 episodes over 7 seasons. Air Warriors is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 7.7 (90 votes).",7Seasons,"Free Services,CBS All Access,fuboTV"
See Dad Run,2012,7+,5.2,44,"Comedy,Drama","The story of David Hobbs, who has spent the last decade playing the perfect father on one of TV’s biggest sitcoms. But when the series ends and his wife resumes her own television career, he finds himself cast in his most challenging role to date: handling the day-to-day needs of three kids who've grown accustomed to not having him around. David soon learns that playing a dad on TV is child’s play compared to the real thing.See Dad Run featuring Scott Baio and Alanna Ubach has one or more episodes available for purchase on iTunes, available for purchase on Prime Video, and available for purchase on VUDU. It's a comedy and drama show with 48 episodes over 3 seasons. See Dad Run is no longer running and has no plans to air new episodes or seasons. It has a less than average IMDb audience rating of 5.2 (1,017 votes).",3Seasons,
Murder by Numbers,2017,16+,7.4,44,"Documentary,Crime","Each episode of this true-crime series begins with the grisly discovery of a body and the onset of an intense investigation. When police think they've solved the case, shocking twists sends each investigation into the depths of evil.Murder by Numbers has one or more episodes streaming via tv everywhere with Investigation Discovery, streaming with subscription on True Crime Files (Via Prime Video), available for purchase on iTunes, and 4 others. It's a crime and documentary show with 14 episodes over 2 seasons. Murder by Numbers is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 7.4 (93 votes).",2 Seasons,
When We Go to War,2015,16+,7.0,44,"Drama,2015","A historical saga, it tells the story of six young men and women who, in 1914, are full of plans and dreams for the future. Cutting between life at home, Gallipoli and Egypt, this spectacular drama begins in a time of optimism and hope, on the eve of war.When We Go to War featuring Esther Stephens and Shavaughn Ruakere has one or more episodes streaming with subscription on Prime Video. It's a drama show with 6 episodes over 1 season. When We Go to War is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.0 (129 votes).",1Season,Prime Video
The Hanging Gale,1995,N/A,7.9,44,"Drama,History","The Hanging Gale is a four-episode television serial which first aired on RTÉ One and BBC1 in 1995. The series was a British–Irish co-production, made by Little Bird Films for BBC Northern Ireland in association with Raidió Teilifís Éireann, with support from the Irish Film Board.The serial, set in 1846 at the beginning of Ireland's Great Famine, starred the four McGann brothers: Joe McGann, Paul McGann, Mark McGann and Stephen McGann, and was based on an original idea by Joe and Stephen McGann while researching their family's history.The title of the series comes from the term 'hanging gale', the name for a widespread practice in Ireland at the time, where a landlord would allow new tenants a six-month grace period on payment of their rent, with the expectation that the rent owed would be paid when the land's crops were harvested and sold.The Hanging Gale has one or more episodes streaming with subscription on Acorn TV, and available for purchase on Prime Video. It's a drama and history show with 4 episodes over 1 season. The Hanging Gale is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.9 (167 votes).",1Season,AcornTV
Tijuana,2019,16+,7.1,44,"Drama,Crime","When a prominent politician is murdered, the intrepid journalists of Frente Tijuana risk their lives to uncover the truth.Tijuana featuring Damián Alcázar and Tamara Vallarta has one or more episodes streaming with subscription on Netflix. It's a crime and drama show with 11 episodes over 1 season. Tijuana is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 7.1 (272 votes).",1Season,Netflix
Harukana Receive,2018,16+,6.3,44,"Animation,Drama","Oozora Haruka, who's just moved to Okinawa, is generally cheerful and optimistic, but there's one thing she feels insecure about: she's taller than most other girls. Her cousin Higa Kanata also has one hang-up: she had to quit her beach volleyball because she was too short. The mismatched cousins find themselves paired up as a beach volleyball team.Harukana Receive featuring Saki Miyashita and Rie Suekara has one or more episodes free on Crunchyroll, streaming with subscription on Funimation, available for purchase on Google Play, and 2 others. It's an animation and drama show with 24 episodes over 3 seasons. Harukana Receive is no longer running and has no plans to air new episodes or seasons. It has an average IMDb audience rating of 6.3 (191 votes).",3Seasons,"Free Services,Funimation"
Becoming Champions,2018,all,6.7,44,"Documentary,Sport",This series looks at the stories behind the athletes and countries that have achieved World Cup champion status.Becoming Champions has one or more episodes streaming with subscription on Netflix. It's a documentary and sport show with 9 episodes over 1 season. Becoming Champions is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 6.7 (250 votes).,1Season,Netflix
The Twisted Whiskers Show,2010,N/A,6.6,44,"Animation,Children","The Twisted Whiskers Show is an American computer-animated comedy series based on the Twisted Whiskers greeting cards created by Terrill Bohlar. It began airing as the first program of the Hasbro/Discovery TV network, Hub Network on October 10, 2010. 26 half hour episodes of the CG series were produced by DQ Entertainment, MoonScoop Group and Mike Young Productions and distributed by Taffy Entertainment. The series is rated TV-G.The Twisted Whiskers Show has one or more episodes available for purchase on iTunes. It's an animation and children show with 52 episodes over 1 season. The Twisted Whiskers Show is no longer running and has no plans to air new episodes or seasons. It has an average IMDb audience rating of 6.6 (57 votes).",1 Season,
Don't Be Tardy,2012,16+,4.6,44,"Reality,Documentary","Don't Be Tardy... is an American reality television series on Bravo that debuted on April 26, 2012.Don't Be Tardy featuring Kim Zolciak-Biermann has one or more episodes streaming with subscription on fuboTV, available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's a documentary and drama show with 83 episodes over 7 seasons. Don't Be Tardy is still airing with no announced date for the next episode or season. It has a less than average IMDb audience rating of 4.6 (242 votes).",7Seasons,fuboTV
Mysteries of the Deep,2020,7+,6.5,44,"Documentary,Mystery","Extreme angler and underwater detective Jeremy Wade dives into greater depths to solve the greatest underwater mysteries known to man.Mysteries of the Deep featuring Jeremy Wade has one or more episodes streaming via tv everywhere with Science GO, streaming via tv everywhere with Discovery GO, and streaming with subscription on fuboTV. It's a documentary and mystery show with 17 episodes over 1 season. Mysteries of the Deep is still airing with no announced date for the next episode or season. It has an average IMDb audience rating of 6.5 (83 votes).",1Season,"Science,fuboTV"
Bunnytown,2007,all,6.8,44,"Children,Animation","Bunnytown is a children's television program that airs on Playhouse Disney in the United States and Great Britain, as well as more than seventy other countries.The program, created by David Rudman, his brother Adam and Todd Hannert, under their Spiffy Pictures banner, began airing in Canada on November 3, 2007, and in the USA a week later. It is produced by future Jim Henson Company employee Bill Barretta. UK viewers got a premiere of the program on January 13, 2008 on the Playhouse Disney channel sublet of pay-broadcaster Family Channel. In France, the series began on January 27, 2008, and kept its original title Bunnytown. The show is produced at Ontario, Canada with many of the ""Peopletown"" segment exterior scenes done at Clarence Park and Verulamium Park in nearby St Albans. It is rated TV-Y in the USA and C in Canada as per their respective countries.Bunnytown has one or more episodes available for purchase on iTunes. It's an animation and children show with 39 episodes over 2 seasons. Bunnytown is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 6.8 (46 votes).",2Seasons,
Outlaw Empires,2012,16+,7.7,44,"Documentary,Drama","Outlaw Empires is a six-part documentary series about American outlaws. It was first aired on May 14, 2012, on Discovery Channel. Each episode focuses on one organization and includes dramatizations of real events and interviews with current and former members. In the biker episode, only former members are interviewed as patched members needed to get the approval of all other members from all other charters to appear on the show.Outlaw Empires has one or more episodes streaming via tv everywhere with Discovery GO, available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's a documentary and drama show with 6 episodes over 1 season. Outlaw Empires is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.7 (186 votes).",1Season,
The Naked Archaeologist,2005,N/A,7.2,44,"Documentary,History","The Naked Archaeologist is a television show produced for VisionTV in Canada and History International in the US that is hosted and prepared by the Emmy Award–winning journalist Simcha Jacobovici together with Avri Gilad. The show ultimately reviews Biblical stories, then tries to find proof for them by exploring the Holy Land looking for archaeological evidence, personal inferences, deductions, and interviews with scholars and experts. Subsequent to its original run on VisionTV, it was picked up in the U.S. by The History Channel and its sister network, History International.The third season began airing on Vision TV on March 22, 2010 and on History International on November 8, 2010.The Naked Archaeologist has one or more episodes streaming with subscription on Prime Video, free on Sony Crackle, free on Plex, and 6 others. It's a documentary and history show with 70 episodes over 3 seasons. The Naked Archaeologist is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 7.2 (253 votes).",3Seasons,"Free Services,Prime Video,Hoopla"
The Vigilantes in Masks,2011,16+,7.7,44,"Action & Adventure,History","The Vigilantes in Masks is a Chinese television series produced by Chinese Entertainment Shanghai. Previous adaptations include a 1960 Hong Kong television series, a 1994 film, a 2005 TVB production, a 2008 SBS South Korean television drama, Iljimae, and a 2009 MBC South Korean adaptation The Return of Iljimae. The story is based on folktales of a Robin Hood-style hero who lived in the Ming Dynasty.The Vigilantes in Masks featuring Liu Kai-Chi and Liu Shishi has one or more episodes streaming with subscription on Prime Video. It's an action & adventure and comedy show with 30 episodes over 1 season. The Vigilantes in Masks is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.7 (69 votes).",1Season,Prime Video
Long Lost Family,2011,7+,8.1,44,"Documentary,2011","Davina McCall and Nicky Campbell present the documentary series which aims to reunite family members after years of separation, and offers a lifeline for people who are desperate to find long-lost relatives.Long Lost Family featuring Davina McCall and Nicky Campbell has one or more episodes available for purchase on iTunes, available for purchase on Google Play, available for purchase on Prime Video, and 2 others. It's a documentary show with 63 episodes over 9 seasons. Long Lost Family is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.1 (150 votes).",9Seasons,
The Ascent of Woman,2015,N/A,8.0,44,"History,Documentary","Biographer and historian Dr. Amanda Foreman presents a landmark four-part BBC Two series on the history of women from the dawn of civilisation to the modern day. This ambitious series sets out to redress a significant imbalance in global history, exploring the extraordinary and often overlooked role that women have played in the forging of the modern world.The Ascent of Woman has one or more episodes streaming with subscription on Acorn TV. It's a documentary and history show with 4 episodes over 1 season. The Ascent of Woman is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.0 (211 votes).",1 Season,AcornTV
Grace,2018,16+,5.7,44,"Comedy,Crime","Charlie Ellison is a once famous writer suffering from writers block With the book advance spent, his agent and best friend Bernie sends him Dawn, a belligerent young woman in order to inspire and check on him - but she has her own ideas.Grace has one or more episodes streaming with subscription on HBO MAX, and streaming on HBO. It's a comedy and crime show with 4 episodes over 1 season. Grace is still airing with no announced date for the next episode or season. It has an average IMDb audience rating of 5.7 (323 votes).",1 Season,"HBO MAX,HBO"
The Greatest Event in Television History,2012,16+,7.8,44,"Comedy,Documentary","Adam Scott is determined to make the greatest event in television history by remaking the opening sequences of TV shows.The Greatest Event in Television History has one or more episodes free on Adult Swim, available for purchase on iTunes, available for purchase on Google Play, and 2 others. It's a comedy and documentary show with 6 episodes over 1 season. The Greatest Event in Television History is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.8 (637 votes).",1Season,Free Services
The Commander,2003,N/A,6.8,44,"Drama,Crime","The Commander is a crime television series, starring Amanda Burton. The series began in 2003, and continued until 2008 on ITV. The series focuses on Commander Clare Blake as a member of the detective murder squad in London. The controversy over Clare Blake has been her willingness to sleep with suspects so that evidence can be gained from them - exemplified in her relationship with murderer James Lampton, acted by Hugh Bonneville.Matthew Marsh originally starred alongside Burton, as DCI Mike Hedges. Mark Lewis Jones now co-stars with Burton as DCI Doug James.The Commander featuring Amanda Burton and Anthony Valentine has one or more episodes streaming with subscription on Acorn TV (Via Prime Video), available for purchase on Google Play, available for purchase on Prime Video, and 1 other. It's a crime and drama show with 22 episodes over 6 seasons. The Commander is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 6.8 (385 votes).",6Seasons,AcornTV
Monster Fish,2007,N/A,6.7,44,"Documentary,2007","Biologist Zeb Hogan is in search of some of the largest fish on earth. Using many methods of fishing to catch the giant fish he is in search of and Often finds himself in exotic environments.Monster Fish has one or more episodes streaming with subscription on Hulu, streaming via tv everywhere with FOX (Via Cable/Satellite Provider), streaming via tv everywhere with National Geographic (Via Cable/Satellite Provider), and 5 others. It's a documentary show with 64 episodes over 8 seasons. Monster Fish is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 6.7 (176 votes).",8Seasons,"Free Services,Hulu,FOX"
Popples,1986,all,6.5,44,"Animation,Comedy",The misadventures of Billy and Bonnie Wagner and their mischievous (though helpful) Popples.Popples has one or more episodes streaming with subscription on Netflix. It's an animation and children show with 56 episodes over 3 seasons. Popples is no longer running and has no plans to air new episodes or seasons. It has an average IMDb audience rating of 6.5 (208 votes).,3Seasons,Netflix
American Haunting,2020,N/A,6.0,44,"Documentary,Horror","""American Haunting"" takes a unique look inside the terrifying lives of families encountering paranormal phenomena within their own homes, witnessing first-hand the frightening incidents they experience daily. Surveillance cameras set up throughout the houses capture every moment of the eerie activity that transpires and document the damaging toll it takes on the families' lives. As they attempt to regain control of their homes, the families call on psychics, demonologists, paranormal investigators and exorcists to help them fight back against the malevolent spirits.American Haunting has one or more episodes streaming with subscription on Hoopla, available for purchase on iTunes, available for purchase on Prime Video, and 1 other. It's a documentary and horror show with 3 episodes over 1 season. American Haunting is no longer running and has no plans to air new episodes or seasons. It has an average IMDb audience rating of 6.0 (32 votes).",1Season,Hoopla
Office Girls,2011,N/A,6.6,44,"Comedy,Romance","Office Girls, is a 2011 Taiwanese drama starring Roy Chiu, Alice Ko, James Wen, Tia/Keiko, and Patrick Lee. It started filming in July 2011.It was first broadcast in Taiwan on free-to-air Taiwan Television every Sunday at 22:00 from 21 August 2011, and cable TV SET Metro every Saturday at 22:00 from 28 August 2011.Office Girls featuring Tia Li and Qiu Ze has one or more episodes streaming with subscription on Netflix. It's a comedy and romance show with 40 episodes over 1 season. Office Girls is no longer running and has no plans to air new episodes or seasons. It has an average IMDb audience rating of 6.6 (104 votes).",1Season,Netflix
Endro!,2019,7+,6.9,44,"Animation,Anime","Naral Island, a continent with swords and magic in which humans and monsters coexist. The terrible Demon King lives there. In ancient times, the first-generation hero defeated the Demon King. Over the many successive generations since then, the Demon King has been resurrected, and the hero who opposes him has likewise reappeared. Girls attend a school for adventurers in order to defeat the Demon King when he appears again. Though a bit absent-minded, Yusha has the body of a hero. The holy elf Seyla's trouble never ends because she is too serious. The cheerful warrior Fai loves to eat. Mei is a quiet otaku magician. As the four girls aim to be in the hero party, they live relaxed fantasy lives and show no sign of defeating the Demon King no matter how much time passes.Endro! featuring Shiina Natsukawa and Inori Minase has one or more episodes streaming with subscription on Crunchyroll, free on Crunchyroll, streaming with subscription on Funimation, and 2 others. It's an animation and anime show with 12 episodes over 1 season. Endro! is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 6.9 (61 votes).",1Season,"Free Services,Crunchyroll,Funimation"
Grizzy & the Lemmings,2016,all,6.7,44,"Animation,Comedy","The forest ranger's house is the only area of human civilization in the middle of untamed wilderness in a vast natural reserve in Canada. When the ranger is away, a bear named Grizzy feels that the ranger's house is his territory, given that bears sit at the top of the food chain. After making his way inside the home, Grizzy takes advantage of all the modern conveniences there, including a comfortable sofa, air conditioning and fully equipped kitchen. He's not alone, though, because a group of small creatures called lemmings also populate the ranger's house when he is away. Because Grizzy and the lemmings are not civilized enough to live together in peace, it becomes an atmosphere of madness when the two sides try to outdo each other with tricks.Grizzy & the Lemmings featuring Pierre-Alain de Garrigues and Josselin Charier has one or more episodes streaming with subscription on Netflix. It's an animation and children show with 156 episodes over 2 seasons. Grizzy & the Lemmings is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 6.7 (257 votes).",2 Seasons,Netflix
Cyborg 009: Call of Justice,2017,N/A,5.8,44,"Animation,Anime","Years after taking up normal lives incognito, the cyborgs are forced to fight again when the superhuman Blessed appear with a plan for humanity.Cyborg 009: Call of Justice featuring Keisuke Koumoto and Risa Taneda has one or more episodes streaming with subscription on Netflix. It's an action & adventure and animation show with 12 episodes over 1 season. Cyborg 009: Call of Justice is still airing with no announced date for the next episode or season. It has an average IMDb audience rating of 5.8 (166 votes).",1 Season,Netflix
Cake Wars,2015,all,6.1,44,"Reality,Food","Four expert bakers aim to win their jaw-dropping cake a spot at a major party or special event. With Jonathan Bennett hosting, each of the bakers will bake one-of-a-kind creations with the hopes of impressing well-known pastry chef Ron Ben-Israel, Fonuts co-owner Waylynn Lucas and some very special guest judges. Each week, only one contestant will take the cake to headline the main event, and take home the sweet grand prize of $10,000. Each of the bakers will compete in two rounds during the competition. In the first, they will be given a surprise ingredient that they must incorporate into the recipe. And in the second, they must make a cake that contains three special features that match the event’s theme. In both rounds, their skills will be tested as they race to get dessert on the table before time runs out. At the end of the second round, they will be judged on taste and presenCake Wars has one or more episodes streaming with subscription on Hulu, streaming via tv everywhere with Food Network, streaming with subscription on fuboTV, and 5 others. It's a food and reality show with 57 episodes over 5 seasons. Cake Wars is still airing with no announced date for the next episode or season. It has an average IMDb audience rating of 6.1 (328 votes).",5Seasons,"Hulu,Food Network,fuboTV"
License to Kill,2019,16+,6.2,44,"Crime,Drama","This new series investigates the jaw-dropping cases of murderous doctors, nurses and medical professionals.License to Kill featuring Terry Dubrow has one or more episodes streaming via tv everywhere with Oxygen (Via Cable/Satellite Provider), streaming with subscription on fuboTV, available for purchase on Google Play, and 1 other. It's a crime and documentary show with 14 episodes over 2 seasons. License to Kill is still airing with no announced date for the next episode or season. It has an average IMDb audience rating of 6.2 (31 votes).",2Seasons,fuboTV
Sweet Dreams,2011,N/A,N/A,44,"2011,Free Services","Sweet Dreams has one or more episodes streaming with subscription on Prime Video, free on Food Network, streaming via tv everywhere with Food Network, and 1 other. It has 74 episodes over 3 seasons. Sweet Dreams is still airing with no announced date for the next episode or season.",3Seasons,"Free Services,Prime Video,Food Network"
Aquarion EVOL,2012,7+,6.9,44,"Animation,Action & Adventure","12,000 years after the events in Genesis Aquarion, humans live on the star Vega under constant threat of trans-dimensional beings called Abductors. These enemies originate from Vega’s sister star Altair and raid Vega for human life. As a countermeasure, an organization known as Neo-DEAVA formed to combat the Abductors. They pilot advanced mecha suits called Aquaria and are strictly separated by gender. Boys and girls are not allowed contact; they are even restrained from fighting on the same battlefield. However, events take a shocking turn when an advanced Abductor mecha suit joins the fray. Two teenagers, Mikono and Amata, are dragged into the conflict. Unknowingly, Amata performs a taboo when he summons an Aquaria and initializes what is called the Forbidden Union between male and female Aquaria. Neo-DEAVA is shocked, and the repercussions of Amata’s actions are much farther reaching than he realizes. How was he able to summon an Aquaria? Where did he learn to form a Forbidden Union? And why was Mikono also able to pilot the mecha suit?Aquarion EVOL has one or more episodes streaming with subscription on Funimation. It's an action & adventure and animation show with 26 episodes over 1 season. Aquarion EVOL is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 6.9 (101 votes).",1Season,Funimation
"Oh Jerome, No",2019,N/A,7.8,44,"Comedy,2019","An absurd comedy that follows an extremely sensitive young man in Brooklyn as he goes way too far in his quest to adhere to society's expectations of traditional masculinity. Presented by Cake on FX.Oh Jerome, No has one or more episodes streaming with subscription on Hulu. It's a comedy show with 8 episodes over 1 season. Oh Jerome, No is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 7.8 (110 votes).",1Season,Hulu
BBQ Pitmasters,2009,N/A,6.5,44,"Documentary,Reality","BBQ Pitmasters is an American reality television series which follows barbecue cooks as they compete for cash and prizes in barbecue cooking competitions. The series premiered on TLC on December 3, 2009. The eight-episode first season was filmed in a docu-reality format as it followed several competing BBQ teams around the country to various BBQ contests.Season two premiered on August 12, 2010 at 10 pm EDT featuring a completely new competition game show-based format. Each week, four teams competed against each other. Challenges included a common protein and a more exotic meat. Weekly winners faced off against each other in the second season finale as they vied for $100,000 and the Kingsford Cup. The judges for the second season were Myron Mixon, Art Smith, and Warren Sapp. Kevin Roberts served as host.On January 29, 2012, Myron Mixon confirmed on the Facebook account for Jack's Old South that filming for Season 3 would start in March. On April 4, 2012, it was announced that Season 3 would air on Destination America, a rebranded version of the Planet Green channel that launched on May 26, 2012.BBQ Pitmasters has one or more episodes streaming via tv everywhere with Destination America, streaming with subscription on fuboTV, available for purchase on iTunes, and 4 others. It's a documentary and food show with 58 episodes over 7 seasons. BBQ Pitmasters is no longer running and has no plans to air new episodes or seasons. It has an average IMDb audience rating of 6.5 (203 votes).",7Seasons,fuboTV
Science And Islam,2009,N/A,7.9,44,"Documentary,2009","Jim Al-Khalili travels through Syria, Iran, Tunisia and Spain to tell the story of the great leap in scientific knowledge that took place in the Islamic world between the 8th and 14th centuries.Science And Islam featuring Jim Al-Khalili has one or more episodes streaming with subscription on Prime Video. It's a documentary show with 3 episodes over 1 season. Science And Islam is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.9 (222 votes).",1Season,Prime Video
Expedition X,2020,7+,5.8,44,"Mystery,Documentary","Whether trekking through the remote jungles of Cambodia in search of a legendary ape-man or exploring the secrets of the world’s largest cave system right here in the United States, the Expedition X team is taking viewers to the stranger side of the unknown.Expedition X featuring Josh Gates has one or more episodes streaming via tv everywhere with Discovery GO, streaming via tv everywhere with Investigation Discovery, streaming with subscription on fuboTV, and 3 others. It's a documentary and mystery show with 7 episodes over 1 season. Expedition X is still airing with no announced date for the next episode or season. It has an average IMDb audience rating of 5.8 (151 votes).",1Season,fuboTV
Best.Worst.Weekend.Ever.,2018,7+,6.3,44,"Comedy,2018","Teenage friends plan an epic trip to Comic-Con to meet their idol, only to get caught in one hilariously awkward predicament after another.Best.Worst.Weekend.Ever. featuring Sam Ashe Arnold and Cole Sand has one or more episodes streaming with subscription on Netflix. It's a comedy show with 8 episodes over 1 season. Best.Worst.Weekend.Ever. is still airing with no announced date for the next episode or season. It has an average IMDb audience rating of 6.3 (220 votes).",1Season,Netflix
Switch,2012,N/A,6.8,44,"Comedy,Drama","The adventures of a group of witches living in the city.Switch has one or more episodes streaming with subscription on Prime Video, free on VUDU, and available for purchase on Prime Video. It's an action & adventure and comedy show with 6 episodes over 1 season. Switch is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 6.8 (361 votes).",1Season,"Free Services,Prime Video"
Guidance,2015,7+,5.8,44,"Drama,Romance","The truth behind a series of scandalous photos of Miriam, the most popular girl in school, unfolds through weekly sessions with the school’s guidance counselor, Anna.Guidance featuring Amanda Steele and Arden Rose has one or more episodes streaming with subscription on Hulu. It's a drama and romance show with 110 episodes over 3 seasons. Guidance is no longer running and has no plans to air new episodes or seasons. It has an average IMDb audience rating of 5.8 (245 votes).",3Seasons,Hulu
Happily Ever After: Fairy Tales for Every Child,1995,all,6.4,44,"Animation,Children","Happily Ever After: Fairy Tales for Every Child is an American anthology animated television series that premiered March 26, 1995, on HBO. Narrated by Robert Guillaume, the series aired 39 episodes from 1995 to 2000, and is currently airing on the HBO Family digital cable television channel in the United States since 1999.Happily Ever After: Fairy Tales for Every Child has one or more episodes streaming with subscription on HBO MAX, streaming with subscription on HBO, available for purchase on Google Play, and 1 other. It's an action & adventure and animation show with 39 episodes over 3 seasons. Happily Ever After: Fairy Tales for Every Child is no longer running and has no plans to air new episodes or seasons. It has an average IMDb audience rating of 6.4 (496 votes).",3Seasons,"HBO MAX,HBO"
Big History,2013,all,7.4,44,"Documentary,2013","Explores many facets of epic moments in history from the past 13.7 billion years, from a Big History perspective.Big History featuring Bryan Cranston has one or more episodes streaming with subscription on History Vault (Via Prime Video), streaming with subscription on Hoopla, available for purchase on iTunes, and 4 others. It's a documentary show with 17 episodes over 1 season. Big History is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.4 (246 votes).",1Season,Hoopla
A Fortunate Life,1986,7+,7.9,44,"Drama,Biography","At eight years old, an impoverished Bert Facey was forced to start the backbreaking, dawn-to-dusk life of a farm labourer. Unschooled, his father dead, abandoned by his mother, by the age of twenty he had survived the rigours of pioneering the harsh Australian bush and the slaughter of the bloody WWI campaign at Gallipoli.A Fortunate Life featuring Dorothy Allison and Dale Randall has one or more episodes streaming with subscription on Prime Video, and available for purchase on Prime Video. It's a biography and drama show with 4 episodes over 1 season. A Fortunate Life is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.9 (70 votes).",1Season,Prime Video
Take My Wife,2016,18+,6.4,44,"Comedy,2016","Follows real life couple Cameron Esposito and Rhea Butcher as they share their lives as stand up comics who are balancing work, relationships, and the breaking down of gender barriers.Take My Wife featuring Cameron Esposito and Rhea Butcher has one or more episodes streaming on Starz, available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's a comedy show with 14 episodes over 2 seasons. Take My Wife is no longer running and has no plans to air new episodes or seasons. It has an average IMDb audience rating of 6.4 (264 votes).",2Seasons,Starz
Shadowverse,2020,16+,6.3,44,"Animation,Anime","The story centers on Hiiro Ryuugasaki, a student at Tensei Academy. Through a strange incident, Hiiro obtains a mysterious smartphone. The smartphone has installed the popular digital card game ""Shadowverse."" Through the game Hiiro meets rivals, participates in tournaments, and forms bonds with othersShadowverse featuring Gakuto Kajiwara and Junya Enoki has one or more episodes free on Crunchyroll. It's an action & adventure and animation show with 12 episodes over 1 season. Shadowverse is still airing with no announced date for the next episode or season. It has an average IMDb audience rating of 6.3 (21 votes).",1Season,Free Services
Panic 9-1-1,2012,N/A,8.0,44,"Documentary,Drama","A&E’s new thriller series “Panic 9-1-1” takes 911 calls to a whole new level never seen or heard before on television. Unlike emergency shows of the past, viewers will live inside the calls and experience every harrowing and terrifying moment along with the caller. Every second is real.One part thriller and one part true-crime show, “Panic 9-1-1” features the real, urgent, unrehearsed, 911 call audio in real-time between emergency dispatchers and frantic callers as life and death situations unfold around them. Each call is a race against time where the dispatcher is the caller’s only lifeline, gathering critical information from the caller to give to first responders. When literally every second counts, getting the right details is crucial. Who lives and who dies remains a mystery until the very end.Panic 9-1-1 has one or more episodes free on PlutoTV, free on IMDb TV, available for purchase on iTunes, and 2 others. It's a documentary and drama show with 8 episodes over 2 seasons. Panic 9-1-1 is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.0 (71 votes).",2Seasons,Free Services
The Least Expected Day: Inside the Movistar Team 2019,2020,N/A,7.4,43,"Documentary,Reality","Pro cycling’s Movistar Team sets their sights on victory while on the road as they face challenges, controversy and internal conflict.The Least Expected Day: Inside the Movistar Team 2019 has one or more episodes streaming with subscription on Netflix. It's a documentary and reality show with 6 episodes over 1 season. The Least Expected Day: Inside the Movistar Team 2019 is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.4 (421 votes).",1Season,Netflix
Secrets of Wild India,2012,N/A,8.2,43,"Documentary,2012","Hidden away in the shadow of the Himalayas, roam the last great herds of India’s giant grazers; one-horned rhinoceroses, wild buffalo and Asian elephants. Through the eyes of a newborn elephant calf, visit a land of unexpected contrasts and else variety.Secrets of Wild India has one or more episodes streaming with subscription on Disney+, available for purchase on iTunes, available for purchase on Prime Video, and 1 other. It's a documentary show with 3 episodes over 1 season. Secrets of Wild India is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.2 (111 votes).",1Season,Disney+
Wonderland,2000,N/A,7.3,43,"Drama,2000","Wonderland is a short-lived and controversial 2000 ABC television drama directed by Peter Berg. It depicted daily life in a mental institution, from the perspectives of both the doctors and patients. Only two episodes aired on ABC during its original run in 2000. DirecTV aired all eight episodes on its channel The 101 Network starting January 14, 2009.The show had many controversial positions on the mental health crisis and its treatment.TV Guide included the series in their 2013 list of 60 shows that were ""Cancelled Too Soon"".Wonderland featuring Michelle Forbes and Ted Levine has one or more episodes free on Tubi. It's a drama show with 44 episodes over 2 seasons. Wonderland is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.3 (140 votes).",2Seasons,Free Services
